id,section_name,deficiency_category,inspected_item_name,risk_percentage,cost_in_usd,is_delete,created_at,updated_at
200,I. Structural Systems,Maintenance,Waterproofing/Repairs for Chimney Flashings,3.73,594.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
201,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Damaged/Missing Vent/Register,3.68,1005.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
202,II. Electrical Systems,Maintenance,Improper/Handyman Wiring,3.68,356.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
203,I. Structural Systems,Maintenance,Damaged Window Trim,3.68,269.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
204,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Unusually Noisy HVAC,3.63,277.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
205,I. Structural Systems,Maintenance,Damaged Patio Pillars,3.63,1750.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
206,II. Electrical Systems,Maintenance,Missing Receptacles Near Vanities,3.48,434.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
207,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Sagging/Improperly Secured Ductwork,3.48,323.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
208,VI. Optional Systems,Maintenance,Improperly Buried Sprinkler Head/Line,3.48,262.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
209,IV. Plumbing Systems,Maintenance,Insulate Plumbing Supply,3.48,164.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
210,I. Structural Systems,Maintenance,Improper Riser Heights,3.39,642.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
211,I. Structural Systems,Maintenance,Damaged/Missing Door Stopper,3.34,294.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
212,II. Electrical Systems,Maintenance,No Lighting Present,3.29,597.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
213,II. Electrical Systems,Maintenance,Repair Damaged Conduit,3.29,529.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
214,VI. Optional Systems,Maintenance,Inoperable Sprinkler Zone,3.24,359.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
215,IV. Plumbing Systems,Maintenance,Deficient TPR Valve,3.24,211.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
216,I. Structural Systems,Maintenance,Improperly Secured Cabinet,3.24,157.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
217,IV. Plumbing Systems,Maintenance,Hot/Cold Swapped Fixture,3.19,460.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
218,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Inspect Vents/Registers/Plenum,3.15,160.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
219,VI. Optional Systems,Maintenance,Adjust Sprinkler Heads,3.15,494.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
220,V. Appliances,Maintenance,Deficient Photovoltaic Sensors,3.1,135.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
221,V. Appliances,Maintenance,Inoperable Range Hood Lighting,3.05,1564.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
222,V. Appliances,Maintenance,Worn/Damaged Cooktop,3.05,516.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
223,IV. Plumbing Systems,Maintenance,Insufficient Water Heater Ventilation,3.05,497.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
224,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Unlevel HVAC Unit,3.05,121.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
225,V. Appliances,High Cost/Hidden Defects,Inoperable Garbage Disposal,3.0,251.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
226,I. Structural Systems,Maintenance,Exposed Slab Rebar/Nails,3.0,218.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
227,I. Structural Systems,Maintenance,Install Chimney Cricket,2.95,826.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
228,V. Appliances,Maintenance,Damaged Microwave,2.95,192.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
229,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Dirty/Missing Air Filter/Register,2.95,143.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
230,V. Appliances,Maintenance,Inoperable Burners,2.95,127.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
231,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Insufficient Makeup/Combustion Air,2.9,221.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
232,I. Structural Systems,Maintenance,Missing Deck Ribbon/Lag Bolts,2.9,979.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
233,I. Structural Systems,Maintenance,Water Damage Near Window,2.9,371.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
234,IV. Plumbing Systems,Maintenance,Missing Anti-Siphon Devices,2.9,187.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
235,IV. Plumbing Systems,Maintenance,Air Admittance Valve Present,2.86,354.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
236,IV. Plumbing Systems,Maintenance,Rusted Water Heater Components,2.86,297.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
237,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Under-performing Emergency Heating,2.81,381.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
238,VI. Optional Systems,Maintenance,Damaged Pool Concrete,2.81,4447.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
239,I. Structural Systems,Maintenance,Loose Door Hinges,2.81,164.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
240,I. Structural Systems,High Cost/Hidden Defects,Missing/Damaged Flooring Caulking,2.76,371.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
241,II. Electrical Systems,Maintenance,Undersized Wiring,2.76,611.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
242,I. Structural Systems,Maintenance,Cut Decking for Ventilation,2.76,718.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
243,IV. Plumbing Systems,Maintenance,Insufficient Flue Clearance,2.76,245.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
244,V. Appliances,Maintenance,Damaged Range Hood,2.71,1564.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
245,I. Structural Systems,Maintenance,Previous Slab Repairs,2.71,779.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
246,IV. Plumbing Systems,Maintenance,CSST Bonding to Electrical System,2.61,347.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
247,II. Electrical Systems,Maintenance,Inoperable Fixture Fan,2.52,370.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
248,I. Structural Systems,High Cost/Hidden Defects,Inadequate Fire Separation Door,2.47,277.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
249,I. Structural Systems,Maintenance,Damaged Expansion Joints,2.47,185.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
250,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Over-performing Heating System,2.42,385.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
251,V. Appliances,High Cost/Hidden Defects,Inoperable Dishwasher,2.42,119.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
252,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Install Condensate Lines,2.42,260.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
253,IV. Plumbing Systems,High Cost/Hidden Defects,No Hot Water at Fixture,2.37,462.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
254,VI. Optional Systems,High Cost/Hidden Defects,Pool Pump Drawing Air,2.32,315.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
255,II. Electrical Systems,Maintenance,Missing Panel Labels,2.32,370.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
256,I. Structural Systems,Maintenance,Remove Attic Construction Debris,2.32,239.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
257,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Install/Repair Secondary Pan,2.32,185.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
258,V. Appliances,Maintenance,Loose Microwave Installation,2.27,726.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
259,I. Structural Systems,Maintenance,Missing Stucco Weep Screed,2.27,2100.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
260,I. Structural Systems,Maintenance,Install Crawlspace Vapor Barrier,2.27,618.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
261,II. Electrical Systems,Maintenance,Missing Light Switch,2.27,356.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
262,VI. Optional Systems,Maintenance,Low Sprinkler Water Pressure,2.27,330.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
263,I. Structural Systems,Maintenance,Wide Baluster Gap,2.23,384.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
264,II. Electrical Systems,Maintenance,Insufficient Kitchen Circuits,2.23,374.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
265,I. Structural Systems,Maintenance,Improper Mechanical Access,2.23,318.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
266,I. Structural Systems,Maintenance,Damaged Crawlspace Skirting,2.18,1024.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
267,I. Structural Systems,Maintenance,Missing/Damaged Fireplace Access Door,2.18,869.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
268,IV. Plumbing Systems,High Cost/Hidden Defects,No Water at Fixture,2.13,462.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
269,IV. Plumbing Systems,Maintenance,Improper Ventilation,2.13,1403.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
270,V. Appliances,Maintenance,Damaged Garage Door Opener,2.13,295.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
271,I. Structural Systems,Maintenance,Interior Keyed Locks,2.08,182.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
272,I. Structural Systems,Maintenance,Wall Extends Below Grade,2.03,1382.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
273,IV. Plumbing Systems,High Cost/Hidden Defects,Damaged Cast Iron Drainpipes,1.98,8234.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
274,VI. Optional Systems,High Cost/Hidden Defects,Inoperable Irrigation System,1.98,506.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
275,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,HVAC Failed to Produce Cold Air,1.98,413.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
276,IV. Plumbing Systems,Maintenance,Damaged Water Heater,1.98,537.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
277,I. Structural Systems,Maintenance,Wood in Contact with Soil,1.98,696.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
278,I. Structural Systems,Maintenance,Rusted Fireplace Lintel,1.98,388.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
279,I. Structural Systems,Maintenance,Missing Deck Support Hangars,1.94,1740.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
280,I. Structural Systems,Maintenance,Insufficient Fireplace Hearth,1.94,387.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
281,I. Structural Systems,Maintenance,Improper Batt Insulation,1.94,173.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
282,V. Appliances,Maintenance,No Refrigerator Water/Ice,1.94,110.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
283,I. Structural Systems,High Cost/Hidden Defects,Foundation Crack,1.89,592.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
284,V. Appliances,High Cost/Hidden Defects,No Water to Dishwasher,1.89,166.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
285,I. Structural Systems,Maintenance,Damaged Retention Walls,1.89,906.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
286,I. Structural Systems,Maintenance,Gaps at Flooring End Joints,1.89,655.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
287,I. Structural Systems,Maintenance,Improper Truss Bracing,1.89,490.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
288,I. Structural Systems,Maintenance,Missing Metal Roof Vent Flashings,1.89,285.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
289,I. Structural Systems,Maintenance,Missing Stucco Control Joints,1.84,1749.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
290,I. Structural Systems,Maintenance,Improper Deck Board Gapping,1.84,1101.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
291,I. Structural Systems,Maintenance,Settling Crawlspace Piers/Beams,1.84,1088.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
292,VI. Optional Systems,Maintenance,Install Pool Security Gate,1.84,177.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
293,VI. Optional Systems,Maintenance,Damaged Pool Components,1.79,4447.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
294,I. Structural Systems,Maintenance,Missing Pier Flashings,1.79,910.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
295,I. Structural Systems,Maintenance,Missing Joist Flashings,1.74,988.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
296,IV. Plumbing Systems,Maintenance,Corrosion in Water Heater,1.74,282.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
297,V. Appliances,Maintenance,Inoperable Microwave Light,1.74,84.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
298,V. Appliances,High Cost/Hidden Defects,Inoperable Garage Door Opener,1.69,295.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
299,I. Structural Systems,Maintenance,Missing Weep Holes,1.69,2100.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
300,VI. Optional Systems,Maintenance,Damaged/Missing Sprinkler Housing,1.69,334.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
301,IV. Plumbing Systems,High Cost/Hidden Defects,Drain Obstruction/Blockage,1.65,2193.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
302,II. Electrical Systems,High Cost/Hidden Defects,Intermittent Switches/Circuits,1.65,356.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
303,IV. Plumbing Systems,High Cost/Hidden Defects,Insufficient Clearance to Floor,1.65,250.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
304,VI. Optional Systems,Maintenance,Damaged Pool Plaster,1.65,5377.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
305,I. Structural Systems,Maintenance,Roof-Mounted Dish Antennas,1.65,761.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
306,I. Structural Systems,Maintenance,Previous Truss/Decking Repairs,1.65,393.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
307,I. Structural Systems,High Cost/Hidden Defects,Missing Deck/Patio Railing,1.6,1740.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
308,I. Structural Systems,High Cost/Hidden Defects,Out of Square Window,1.6,853.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
309,VI. Optional Systems,Maintenance,Inoperable Pool Lighting,1.6,4447.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
310,VI. Optional Systems,High Cost/Hidden Defects,Septage at Clean Out Riser,1.55,875.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
311,I. Structural Systems,High Cost/Hidden Defects,Previous Truss Repairs,1.55,374.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
312,I. Structural Systems,Maintenance,Ponding/Damaged Roll Roofing,1.55,1846.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
313,I. Structural Systems,Maintenance,Loose Patio Railing,1.55,1816.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
314,I. Structural Systems,Maintenance,Clogged Drain Tiles,1.55,246.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
315,I. Structural Systems,High Cost/Hidden Defects,Improper Insulation Levels,1.5,1644.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
316,V. Appliances,High Cost/Hidden Defects,Damaged Dishwasher Door,1.5,388.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
317,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Damaged Thermostat,1.5,350.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
318,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Clogged HVAC Condensate Lines,1.5,302.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
319,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Damaged Air Handler Cabinet,1.5,249.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
320,V. Appliances,High Cost/Hidden Defects,Improper Garage Door Installation,1.5,165.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
321,IV. Plumbing Systems,Maintenance,Septage on Clean Out Riser,1.5,509.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
322,I. Structural Systems,Maintenance,Unstable Deck/Patio Support,1.5,1046.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
323,I. Structural Systems,Maintenance,Exposed Slab Footings,1.5,490.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
324,IV. Plumbing Systems,High Cost/Hidden Defects,Drain Pipe Offset,1.45,4049.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
325,IV. Plumbing Systems,High Cost/Hidden Defects,Root Intrusion in Drain,1.45,2360.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
326,II. Electrical Systems,Maintenance,Missing Grounding Wires,1.45,615.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
327,I. Structural Systems,Maintenance,Damaged Exterior Wallboard/Repairs,1.45,1309.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
328,I. Structural Systems,Maintenance,Damaged/Missing Carpet,1.45,389.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
329,I. Structural Systems,Maintenance,Missing Shelving Components,1.45,119.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
330,I. Structural Systems,High Cost/Hidden Defects,Foundation Condition Assessment,1.4,779.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
331,I. Structural Systems,Maintenance,Damaged Crawlspace Wood/Repairs,1.4,1758.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
332,I. Structural Systems,Maintenance,Loose Flooring Tiles,1.4,471.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
333,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Missing Electric Breaker,1.4,263.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
334,II. Electrical Systems,Maintenance,Disconnected Ground Wire,1.4,218.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
335,I. Structural Systems,Maintenance,Sagging Shelving,1.4,129.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
336,IV. Plumbing Systems,High Cost/Hidden Defects,Drain Leak Present,1.36,6696.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
337,I. Structural Systems,Maintenance,Heaving Grading Line,1.36,507.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
338,I. Structural Systems,Maintenance,Cutback Tree Limbs,1.36,267.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
339,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Inoperable HVAC System,1.31,7184.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
340,I. Structural Systems,High Cost/Hidden Defects,Improper Crawlspace Ventilation,1.31,689.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
341,IV. Plumbing Systems,High Cost/Hidden Defects,Inoperative Water Heater,1.31,180.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
342,I. Structural Systems,Maintenance,Missing Kick Out Flashing,1.31,494.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
343,VI. Optional Systems,Maintenance,Damaged Septic Tank Lids,1.31,165.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
344,I. Structural Systems,Maintenance,Exposed Attic Nails,1.31,130.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
345,V. Appliances,Maintenance,Loud Vent Hood Noises,1.26,532.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
346,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Old Sheet Metal Ductwork,1.26,808.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
347,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Old Plastic Ductwork,1.26,808.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
348,I. Structural Systems,Maintenance,Missing Attic Ladder Baffles,1.26,1137.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
349,I. Structural Systems,Maintenance,Repair Crawlspace Insulation Support,1.26,977.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
350,I. Structural Systems,Maintenance,Carpet Stretching Needed,1.26,587.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
351,I. Structural Systems,Maintenance,Remove Slab Form Boards,1.26,515.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
352,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Moisture in HVAC Closet Flooring,1.26,276.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
353,IV. Plumbing Systems,Maintenance,Missing Water Heater Access Panel,1.26,262.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
354,II. Electrical Systems,High Cost/Hidden Defects,Recalled Electrical Panel,1.21,3727.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
355,VI. Optional Systems,Maintenance,Damaged Pool Coping,1.21,4591.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
356,VI. Optional Systems,Maintenance,Pool Pumps Issues,1.21,911.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
357,I. Structural Systems,Maintenance,Improper Stair Installation,1.21,780.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
358,V. Appliances,Maintenance,Missing Dishwasher Gaskets/Trim,1.21,139.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
359,VI. Optional Systems,High Cost/Hidden Defects,Pump Septic Tank,1.16,931.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
360,V. Appliances,High Cost/Hidden Defects,No Power to Oven,1.16,516.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
361,IV. Plumbing Systems,High Cost/Hidden Defects,Toilet Not Draining,1.16,462.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
362,I. Structural Systems,High Cost/Hidden Defects,Damaged/Missing Damper,1.16,310.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
363,II. Electrical Systems,Maintenance,Missing Wall Plugs,1.16,541.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
364,I. Structural Systems,Maintenance,Damaged Stairs,1.16,745.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
365,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Clean and Service HVAC System,1.16,481.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
366,I. Structural Systems,High Cost/Hidden Defects,Damaged Truss Bracing,1.11,510.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
367,I. Structural Systems,Maintenance,Safety Glass Required,1.11,1276.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
368,V. Appliances,Maintenance,Manual Disconnect Needs Repair,1.11,296.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
369,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Rust Around Register,1.11,188.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
370,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Oversized/Undersized HVAC Breaker,1.06,264.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
371,V. Appliances,Maintenance,Damaged Range Display,1.06,516.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
372,VI. Optional Systems,Maintenance,Damaged Outbuilding Electrical,1.06,463.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
373,V. Appliances,Maintenance,Remove Dryer Vent Screen,1.06,280.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
374,II. Electrical Systems,Maintenance,Double Switched Receptacles,1.06,202.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
375,VI. Optional Systems,High Cost/Hidden Defects,Clogged Irrigation Nozzle,1.02,506.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
376,I. Structural Systems,High Cost/Hidden Defects,Voids in Ground Grading,1.02,413.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
377,V. Appliances,High Cost/Hidden Defects,Garage Door Not Closing,1.02,295.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
378,V. Appliances,High Cost/Hidden Defects,Noisy Dishwasher Operation,1.02,110.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
379,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Damaged/Missing HVAC Filters,1.02,2554.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
380,VI. Optional Systems,Maintenance,Damaged Sprinkler Valve/Box,1.02,506.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
381,VI. Optional Systems,Maintenance,Disconnected Sprinkler Wires,1.02,506.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
382,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Missing Emergency Heat Function,1.02,476.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
383,I. Structural Systems,Maintenance,Damaged Window Balance,1.02,349.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
384,I. Structural Systems,Maintenance,Damaged Attic Access Cover,1.02,318.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
385,IV. Plumbing Systems,High Cost/Hidden Defects,Sewer Smell Present,0.97,1975.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
386,I. Structural Systems,High Cost/Hidden Defects,Water Damage on Deck,0.97,988.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
387,I. Structural Systems,High Cost/Hidden Defects,Flooring Gives Underfoot,0.97,702.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
388,II. Electrical Systems,High Cost/Hidden Defects,Open Grounds in Receptacles,0.97,588.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
389,I. Structural Systems,High Cost/Hidden Defects,Damaged Garage Door,0.97,561.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
390,I. Structural Systems,High Cost/Hidden Defects,Improper Clearance to Flammables,0.97,438.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
391,IV. Plumbing Systems,Maintenance,Rust in Water,0.97,1209.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
392,I. Structural Systems,Maintenance,Paint/Stain Exterior Wallboard,0.97,564.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
393,I. Structural Systems,Maintenance,Damaged Chimney Chase,0.97,457.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
394,"III. Heating, Ventilation and Air Conditioning Systems",High Cost/Hidden Defects,Damaged/Noisy HVAC Condenser Fan,0.92,263.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
395,"III. Heating, Ventilation and Air Conditioning Systems",Maintenance,Noisy Vent Registers,0.92,773.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
396,VI. Optional Systems,Maintenance,Unbonded Pool Pumps,0.92,658.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
397,I. Structural Systems,Maintenance,Wavy Slab,0.92,2248.0,0,2026-02-20 14:44:42,2026-02-20 14:44:42
